Unit,Block,SampleNo.,SampleName,AMFIsolate,ColonizationRegion,HarvestTime,Treatment,InoculationTreatment,InoculationTiming,ConcentrationPeruL.1.10,CopiesPer20uLWell,ConcentrationPeruL,ConcentrationPerGSample,AcceptedDroplets
3,1,3-R,CC4-co-inoc-2mos-1-R,CC4,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,2.9,58,29,101500,16797
3,1,3-S,CC4-co-inoc-2mos-1-S,CC4,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.9,18,9,31500,14740
39,2,39-R,CC4-co-inoc-2mos-2-R,CC4,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,1.3,26,13,45500,15144
39,2,39-S,CC4-co-inoc-2mos-2-S,CC4,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.76,15.2,7.6,26600,18526
46,3,46-R,CC4-co-inoc-2mos-3-R,CC4,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.28,5.6,2.8,9800,16908
46,3,46-S,CC4-co-inoc-2mos-3-S,CC4,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.87,17.4,8.7,30450,18912
78,4,78-R,CC4-co-inoc-2mos-4-R,CC4,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,9.5,190,95,332500,18985
78,4,78-S,CC4-co-inoc-2mos-4-S,CC4,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,3.5,70,35,122500,19773
98,5,98-R,CC4-co-inoc-2mos-5-R,CC4,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,1.1,22,11,38500,18020
98,5,98-S,CC4-co-inoc-2mos-5-S,CC4,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,2.9,58,29,101500,18176
105,6,105-R,CC4-co-inoc-2mos-6-R,CC4,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,3.8,76,38,133000,16505
105,6,105-S,CC4-co-inoc-2mos-6-S,CC4,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.88,17.6,8.8,30800,18746
121,7,121-R,CC4-co-inoc-2mos-7-R,CC4,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,34,680,340,1190000,17254
121,7,121-S,CC4-co-inoc-2mos-7-S,CC4,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.25,5,2.5,8750,14273
13,1,13-R,CC4-co-inoc-4mos-1-R,CC4,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,5.3,106,53,185500,20105
13,1,13-S,CC4-co-inoc-4mos-1-S,CC4,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,1,20,10,35000,17037
29,2,29-R,CC4-co-inoc-4mos-2-R,CC4,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,3.7,74,37,129500,20233
29,2,29-S,CC4-co-inoc-4mos-2-S,CC4,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.89,17.8,8.9,31150,18418
