"S.obs","S.chao1","se.chao1","S.ACE","se.ACE","shannon","evenness"
31,32,1.81214076899855,32.3775806451613,2.75877561312361,1.93370212572932,0.56310696883311
40,41,1.44896935617078,43.1024750325662,3.19789896200781,2.31992939366231,0.628898130860596
33,42,8.03473208282997,45.788679245283,3.60130767613733,2.29440940451572,0.656200326806504
46,49.1111111111111,3.0999849374746,52.3925924051914,3.6574467839736,2.6448712493332,0.690811955321429
35,37.5,2.89608612006184,39.7486406073664,3.15859865334782,1.87048525525519,0.526104680302833
22,23,2.30783165688525,23.2878853046595,2.20248616574278,2.23103230686995,0.721773427746361
31,32.2,1.83784643077315,34.0028172885316,2.93011818822802,2.34801608212359,0.683757958986228
39,46.2,6.43318587633534,47.1795918367347,3.49442537939477,2.11788064555409,0.578093355626079
48,63.6,11.6396058309279,61.6774287840136,3.99801443794381,2.70132542592038,0.697800351443609
31,31.5,1.02568426852267,32.6133012465798,2.79732116965502,2.43107541545871,0.707945391375794
33,33,0.246182981958665,33.2063492063492,2.76244062455055,2.75070771324718,0.786701491385737
18,18,0.242956328951888,18.3209227258814,2.0271998377629,1.62761499950038,0.563116144161707
22,22,0,22,2.33549683248457,2.21123984350545,0.715370259992064
33,34.6666666666667,2.20251174550303,36.5123966942149,2.63506154366097,2.60852547309841,0.746037417978401
40,44.6666666666667,4.48827886106655,47.0174927113703,3.57923115469023,2.68985139831665,0.729178448842197
33,35.1428571428571,2.52860535557443,39.5553625705601,3.17317396264801,2.53828493443584,0.725948647275699
18,18,0,18,1.58113883008419,2.38762691819811,0.826062222506634
36,52.5,12.8892085260722,51.0880626223092,3.79160360761107,1.92796108231149,0.538007783807644
44,66,17.4519060153619,61.1585465211015,4.25533202143588,2.83767476418551,0.749876469918686
34,34.75,1.25449114497622,36.190243383994,2.76645870116395,1.86865484448119,0.529910322962394
37,67.3333333333333,22.7156885391162,64.1531190926276,4.70815910562981,1.5140785055859,0.419305711792589
37,51,13.1875609839683,42.2448820128145,3.06763980182517,2.3063410760746,0.638713239090418
35,37.5,3.15568270479358,38.5502146840314,2.98439617382718,2.5803622855522,0.725769247039973
38,38.8571428571429,1.39385004340637,39.9370003376345,3.05987231209184,2.50589857123411,0.688890506286345
38,43,5.52782484755257,41.3923900118906,3.11512342560351,2.33549455562409,0.6420451511174
30,31,1.81194760461328,31.1461609373539,2.67183038205634,1.57244181130263,0.462320069920254
34,34.6,1.18427266037178,35.2175792207792,2.8943136938812,2.67638678885464,0.758965729729509
31,33,2.8774053033004,33.4272388059701,2.86239397618387,2.53942848542811,0.739498528739814
22,22,0.122126052614799,22.5166904131895,2.25575009097099,1.63164277246286,0.527861650910077
36,45,8.03585714158733,45.6526646647115,3.45786405879332,2.11991317931898,0.591573036371982
48,55,6.64642761188294,52.995134127727,3.52844486284066,2.87495554903014,0.742652097095805
43,50.5,6.3479129129057,55.5071126489812,3.80718646676495,2.90979170155373,0.773633843467318
33,36.75,4.20154513305546,38.4638548833884,3.1176037358449,2.33722695049352,0.668446130719436
42,45.75,4.20335876383886,45.4685714285714,3.31465762789296,2.57411515950005,0.688695209150744
36,41.6,5.34125309411421,43.1135116887501,2.96862045264223,2.45970582801865,0.686393980403621
31,31.5,1.02568426852267,32.4427421620639,2.73224000129654,2.06086611911817,0.600137972682736
40,41,1.57920943481996,42.0873149735801,3.18322260673132,2.62375886885569,0.711261753465433
33,36,3.41467421579277,38.0611413043478,3.10545520217954,1.83858746114678,0.525835402562567
41,43.5,3.15659317299048,43.3906039154213,3.17592627791365,2.58118876903101,0.695068985512308
16,16,0.242061459137964,16.4988730277986,1.59447487562708,2.10702269905256,0.759947799740901
29,29,0.163767894813506,29.3035848884843,2.67532286672048,2.51291379489189,0.746270574896886
37,39,2.58248538606335,41.4485544217687,3.23050273911649,2.46136687123209,0.681645756225365
36,38.5,2.89618660058305,43.6468791754152,3.22818686092587,2.71802221841983,0.758478541651251
34,36.3333333333333,2.55161292783494,38.715436917653,2.95091676872471,2.41842393239483,0.685813011889382
42,55.75,11.1615708992212,53.211532953569,3.7296627225338,2.23198532217497,0.597159607488282
35,45.5,10.5320025124891,42.8395061728395,2.63207566759271,2.85685375096881,0.803537010036653
25,27,2.87532427943948,31.1917355371901,2.79937846005843,2.50845440574257,0.779295177018916
