Unit,Block,SampleNo.,SampleName,AMFIsolate,ColonizationRegion,HarvestTime,Treatment,InoculationTreatment,InoculationTiming,ConcentrationPeruL,ConcentrationPerGSample,Presence
3,1,3-R,CC4-co-inoc-2mos-1-R,CC4,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,29,101500,1
3,1,3-S,CC4-co-inoc-2mos-1-S,CC4,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,9,31500,1
39,2,39-R,CC4-co-inoc-2mos-2-R,CC4,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,13,45500,1
39,2,39-S,CC4-co-inoc-2mos-2-S,CC4,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,7.6,26600,1
46,3,46-R,CC4-co-inoc-2mos-3-R,CC4,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,2.8,9800,1
46,3,46-S,CC4-co-inoc-2mos-3-S,CC4,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,8.7,30450,1
78,4,78-R,CC4-co-inoc-2mos-4-R,CC4,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,95,332500,1
78,4,78-S,CC4-co-inoc-2mos-4-S,CC4,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,35,122500,1
98,5,98-R,CC4-co-inoc-2mos-5-R,CC4,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,11,38500,1
98,5,98-S,CC4-co-inoc-2mos-5-S,CC4,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,29,101500,1
105,6,105-R,CC4-co-inoc-2mos-6-R,CC4,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,38,133000,1
105,6,105-S,CC4-co-inoc-2mos-6-S,CC4,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,8.8,30800,1
121,7,121-R,CC4-co-inoc-2mos-7-R,CC4,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,340,1190000,1
121,7,121-S,CC4-co-inoc-2mos-7-S,CC4,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,2.5,8750,1
13,1,13-R,CC4-co-inoc-4mos-1-R,CC4,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,53,185500,1
13,1,13-S,CC4-co-inoc-4mos-1-S,CC4,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,10,35000,1
29,2,29-R,CC4-co-inoc-4mos-2-R,CC4,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,37,129500,1
29,2,29-S,CC4-co-inoc-4mos-2-S,CC4,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,8.9,31150,1
42,3,42-R,CC4-co-inoc-4mos-3-R,CC4,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,38,133000,1
42,3,42-S,CC4-co-inoc-4mos-3-S,CC4,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,27,94500,1
79,4,79-R,CC4-co-inoc-4mos-4-R,CC4,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,34,119000,1
79,4,79-S,CC4-co-inoc-4mos-4-S,CC4,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,18,63000,1
97,5,97-R,CC4-co-inoc-4mos-5-R,CC4,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,11,38500,1
97,5,97-S,CC4-co-inoc-4mos-5-S,CC4,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,2.3,8050,1
112,6,112-R,CC4-co-inoc-4mos-6-R,CC4,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,5.6,19600,1
112,6,112-S,CC4-co-inoc-4mos-6-S,CC4,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.9,3150,1
140,7,140-R,CC4-co-inoc-4mos-7-R,CC4,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,1.5,5250,1
140,7,140-S,CC4-co-inoc-4mos-7-S,CC4,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,3.4,11900,1
6,1,6-R,CC4-pre-inoc-1-2mos-1-R,CC4,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,45,157500,1
6,1,6-S,CC4-pre-inoc-1-2mos-1-S,CC4,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,10,35000,1
40,2,40-R,CC4-pre-inoc-1-2mos-2-R,CC4,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,51,178500,1
40,2,40-S,CC4-pre-inoc-1-2mos-2-S,CC4,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,11,38500,1
59,3,59-R,CC4-pre-inoc-1-2mos-3-R,CC4,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,25,87500,1
59,3,59-S,CC4-pre-inoc-1-2mos-3-S,CC4,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,9.3,32550,1
76,4,76-R,CC4-pre-inoc-1-2mos-4-R,CC4,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,7.3,25550,1
76,4,76-S,CC4-pre-inoc-1-2mos-4-S,CC4,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,8.5,29750,1
91,5,91-R,CC4-pre-inoc-1-2mos-5-R,CC4,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,310,1085000,1
91,5,91-S,CC4-pre-inoc-1-2mos-5-S,CC4,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,3.6,12600,1
118,6,118-R,CC4-pre-inoc-1-2mos-6-R,CC4,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,24,84000,1
118,6,118-S,CC4-pre-inoc-1-2mos-6-S,CC4,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,1.3,4550,1
124,7,124-R,CC4-pre-inoc-1-2mos-7-R,CC4,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,65,227500,1
124,7,124-S,CC4-pre-inoc-1-2mos-7-S,CC4,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.7,2450,1
5,1,5-R,CC4-pre-inoc-1-4mos-1-R,CC4,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,186,651000,1
5,1,5-S,CC4-pre-inoc-1-4mos-1-S,CC4,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,10,35000,1
24,2,24-R,CC4-pre-inoc-1-4mos-2-R,CC4,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,11,38500,1
24,2,24-S,CC4-pre-inoc-1-4mos-2-S,CC4,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,8.1,28350,1
57,3,57-R,CC4-pre-inoc-1-4mos-3-R,CC4,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,62,217000,1
57,3,57-S,CC4-pre-inoc-1-4mos-3-S,CC4,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.7,2450,1
63,4,63-R,CC4-pre-inoc-1-4mos-4-R,CC4,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,23,80500,1
63,4,63-S,CC4-pre-inoc-1-4mos-4-S,CC4,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,10.4,36400,1
84,5,84-R,CC4-pre-inoc-1-4mos-5-R,CC4,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,71,248500,1
84,5,84-S,CC4-pre-inoc-1-4mos-5-S,CC4,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,1.6,5600,1
101,6,101-R,CC4-pre-inoc-1-4mos-6-R,CC4,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,2.1,7350,1
101,6,101-S,CC4-pre-inoc-1-4mos-6-S,CC4,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,4.3,15050,1
130,7,130-R,CC4-pre-inoc-1-4mos-7-R,CC4,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,573,2005500,1
130,7,130-S,CC4-pre-inoc-1-4mos-7-S,CC4,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,3.2,11200,1
7,1,7-R,CC4-pre-inoc-2-2mos-1-R,CC4,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,11,38500,1
7,1,7-S,CC4-pre-inoc-2-2mos-1-S,CC4,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,14,49000,1
28,2,28-R,CC4-pre-inoc-2-2mos-2-R,CC4,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,31,108500,1
28,2,28-S,CC4-pre-inoc-2-2mos-2-S,CC4,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,9.3,32550,1
44,3,44-R,CC4-pre-inoc-2-2mos-3-R,CC4,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,59,206500,1
44,3,44-S,CC4-pre-inoc-2-2mos-3-S,CC4,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,11,38500,1
70,4,70-R,CC4-pre-inoc-2-2mos-4-R,CC4,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,80,280000,1
70,4,70-S,CC4-pre-inoc-2-2mos-4-S,CC4,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,7.1,24850,1
85,5,85-R,CC4-pre-inoc-2-2mos-5-R,CC4,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,82,287000,1
85,5,85-S,CC4-pre-inoc-2-2mos-5-S,CC4,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,2.5,8750,1
111,6,111-R,CC4-pre-inoc-2-2mos-6-R,CC4,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,8.8,30800,1
111,6,111-S,CC4-pre-inoc-2-2mos-6-S,CC4,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,4.2,14700,1
133,7,133-R,CC4-pre-inoc-2-2mos-7-R,CC4,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,8,28000,1
133,7,133-S,CC4-pre-inoc-2-2mos-7-S,CC4,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.9,6650,1
16,1,16-R,CC4-pre-inoc-2-4mos-1-R,CC4,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,10,35000,1
16,1,16-S,CC4-pre-inoc-2-4mos-1-S,CC4,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,10,35000,1
31,2,31-R,CC4-pre-inoc-2-4mos-2-R,CC4,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,3.7,12950,1
31,2,31-S,CC4-pre-inoc-2-4mos-2-S,CC4,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,12,42000,1
58,3,58-R,CC4-pre-inoc-2-4mos-3-R,CC4,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,206,721000,1
58,3,58-S,CC4-pre-inoc-2-4mos-3-S,CC4,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.3,4550,1
65,4,65-R,CC4-pre-inoc-2-4mos-4-R,CC4,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,98,343000,1
65,4,65-S,CC4-pre-inoc-2-4mos-4-S,CC4,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,12,42000,1
82,5,82-R,CC4-pre-inoc-2-4mos-5-R,CC4,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,17,59500,1
82,5,82-S,CC4-pre-inoc-2-4mos-5-S,CC4,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,4.3,15050,1
110,6,110-R,CC4-pre-inoc-2-4mos-6-R,CC4,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,10,35000,1
